number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
0,0.003463226875130689,2024-10-26 15:36:18.014667,2024-10-26 15:36:22.388621,0 days 00:00:04.373954,0.9518482600578946,0.08468320553188802,9,919,32,COMPLETE,0.7
1,0.0034687505104809644,2024-10-26 15:36:22.388771,2024-10-26 15:36:36.120789,0 days 00:00:13.732018,0.4730695310308456,0.026635185333153028,20,952,13,COMPLETE,0.7
2,0.00374375404030111,2024-10-26 15:36:36.120968,2024-10-26 15:36:38.419843,0 days 00:00:02.298875,0.6109987399976952,0.033915978505544245,7,108,9,COMPLETE,0.7
3,0.0034540302007586726,2024-10-26 15:36:38.420176,2024-10-26 15:36:49.677494,0 days 00:00:11.257318,0.9612432822334289,0.015934226616099827,6,578,33,COMPLETE,0.7
4,0.0034780584765501544,2024-10-26 15:36:49.677654,2024-10-26 15:37:07.773128,0 days 00:00:18.095474,0.22289375967572567,0.014723250511438793,20,951,17,COMPLETE,0.7
5,0.0034523793471476633,2024-10-26 15:37:07.773468,2024-10-26 15:37:24.397580,0 days 00:00:16.624112,0.707174176581684,0.013607535377693006,18,608,11,COMPLETE,0.7
6,0.003542172678369867,2024-10-26 15:37:24.397741,2024-10-26 15:37:26.769480,0 days 00:00:02.371739,0.5223010212536224,0.06344433018295648,4,856,36,PRUNED,0.7
7,0.0034746643517422223,2024-10-26 15:37:26.769623,2024-10-26 15:37:42.363510,0 days 00:00:15.593887,0.00927220710592791,0.011188890899383094,19,603,13,PRUNED,0.7
8,0.0034829087774579247,2024-10-26 15:37:42.363669,2024-10-26 15:37:53.045525,0 days 00:00:10.681856,0.4468540940876393,0.09414739808441558,9,528,29,PRUNED,0.7
9,0.0035533739806301655,2024-10-26 15:37:53.045763,2024-10-26 15:38:03.029281,0 days 00:00:09.983518,0.7700642414834472,0.051148806506462474,17,803,15,PRUNED,0.7
10,0.003489944009483659,2024-10-26 15:38:03.029407,2024-10-26 15:38:11.912467,0 days 00:00:08.883060,0.7464802583686736,0.023119801999460173,14,326,1,PRUNED,0.7
11,0.003445437382346437,2024-10-26 15:38:11.912582,2024-10-26 15:38:29.128865,0 days 00:00:17.216283,0.985011946570747,0.016708931387047612,14,620,25,COMPLETE,0.7
12,0.0034517165907788448,2024-10-26 15:38:29.129045,2024-10-26 15:38:46.032941,0 days 00:00:16.903896,0.7933595777300638,0.010408752618465406,14,693,25,COMPLETE,0.7
13,0.0034703324933307057,2024-10-26 15:38:46.033100,2024-10-26 15:39:05.235578,0 days 00:00:19.202478,0.8573528531034057,0.010134188245294076,14,735,24,PRUNED,0.7
14,0.0034191191245984583,2024-10-26 15:39:05.235771,2024-10-26 15:39:15.129875,0 days 00:00:09.894104,0.9910200551190067,0.019565580284132453,14,421,24,COMPLETE,0.7
15,0.0034623346065207196,2024-10-26 15:39:15.130040,2024-10-26 15:39:24.501952,0 days 00:00:09.371912,0.9600145020120113,0.021779820286571893,11,419,24,PRUNED,0.7
16,0.0034807597860434664,2024-10-26 15:39:24.502087,2024-10-26 15:39:31.412780,0 days 00:00:06.910693,0.3234773754834612,0.03648536162967386,15,295,20,PRUNED,0.7
17,0.0034526887629907814,2024-10-26 15:39:31.412904,2024-10-26 15:39:41.910949,0 days 00:00:10.498045,0.8693963937244965,0.018858001657079453,12,438,39,COMPLETE,0.7
