number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
18,0.004965368041792743,2024-10-17 22:26:29.333498,2024-10-17 22:26:31.162993,0 days 00:00:01.829495,0.0033440465679019423,0.9348013685206791,0.09216328564821573,12,29,9.75914558500354,0.699335914499033,366,76,0.5227075568240449,0.9912427621156727,0.9093718682808387,8,COMPLETE,0.3
19,0.0040734172005650274,2024-10-17 22:26:31.163413,2024-10-17 22:26:44.999261,0 days 00:00:13.835848,0.0010522617247299261,0.7171329615744302,0.05960874858850652,16,56,7.783655606632477,0.18998960705510298,763,185,0.53420695760828,0.3896834123895414,0.8290977138657702,4,COMPLETE,0.3
0,0.003837457199594044,2024-10-17 22:28:09.276445,2024-10-17 22:28:29.280544,0 days 00:00:20.004099,0.00023187475883378056,0.7754450358821394,0.015275865368907932,20,24,2.1934900679917435,0.27349280798487086,878,183,0.9193927721629663,0.07657413497841004,0.864399111632095,7,COMPLETE,0.4
1,0.004873064980639723,2024-10-17 22:28:29.280822,2024-10-17 22:28:30.555139,0 days 00:00:01.274317,0.06754152362441646,0.517715675889102,0.09405748536711918,19,83,7.7481749315200386,0.9984010318796307,386,29,0.39072058865989356,0.6648570459742548,0.8102752673633067,1,COMPLETE,0.4
2,0.004474923234144227,2024-10-17 22:28:30.555375,2024-10-17 22:28:34.126434,0 days 00:00:03.571059,0.04024761182818096,0.5930123765012618,0.037191353286509556,11,32,4.883547597737877,0.7952497172121044,351,150,0.007873832091435107,0.2360881428060243,0.8707674440467452,8,COMPLETE,0.4
3,0.003965452189577209,2024-10-17 22:28:34.126665,2024-10-17 22:28:39.984807,0 days 00:00:05.858142,0.03753901466558117,0.8439891819879384,0.044819389717704744,18,39,3.5471371397197973,0.22686993627671082,337,142,0.35021485667016683,0.14197939819306915,0.6796893049847186,5,COMPLETE,0.4
4,0.004629744250329817,2024-10-17 22:28:39.985040,2024-10-17 22:28:41.999766,0 days 00:00:02.014726,0.3506167702864318,0.7938289453567087,0.047486314221129,7,6,7.078164773128397,0.06068018040579326,230,173,0.4324143218897053,0.2525026817971282,0.7645039478630941,5,COMPLETE,0.4
5,0.00449688399656905,2024-10-17 22:28:42.000001,2024-10-17 22:28:47.330125,0 days 00:00:05.330124,0.05538316655636763,0.9560097224598598,0.01496701068939793,9,65,7.245290656900896,0.4121001429292832,695,99,0.39692838576287515,0.11809498849594768,0.7530220789869329,6,COMPLETE,0.4
6,0.0054928960377792005,2024-10-17 22:28:47.330352,2024-10-17 22:28:48.875471,0 days 00:00:01.545119,0.0003170995122521403,0.8197378576945222,0.022169147902192658,3,68,7.531598036949458,0.4058277954402827,991,186,0.23508809690361832,0.5909218099939356,0.5068055390190166,1,COMPLETE,0.4
7,0.004271230497462018,2024-10-17 22:28:48.875701,2024-10-17 22:28:59.212819,0 days 00:00:10.337118,0.005208517212208901,0.8481545230562414,0.013308482001917338,19,41,5.504573913899225,0.506323806886155,646,153,0.22833881271941892,0.25473601337598883,0.8028628848579102,8,COMPLETE,0.4
8,0.0052467410581573904,2024-10-17 22:28:59.213051,2024-10-17 22:29:00.434556,0 days 00:00:01.221505,0.0001639934473907057,0.9276300927847592,0.01905110146327317,4,79,2.2054976013478553,0.5058773673368376,546,178,0.3169353874265106,0.9433821640181435,0.7697545055275103,2,COMPLETE,0.4
